indicator,category,name,symbol,crash_type,precision,recall,f1,avg_lead_time,median_lead_time,false_alarm_rate,total_signals,true_positives,false_positives,detected_crashes,missed_crashes,total_crashes
M1,momentum,RSI Overbought Exit,BTC,ALL,0.22580645161290322,0.25,0.23728813559322032,8.428571428571429,9.0,0.7741935483870968,31,7,24,5,15,20
M1,momentum,RSI Overbought Exit,BTC,A,0.06451612903225806,0.2222222222222222,0.09999999999999999,15.5,15.5,0.9354838709677419,31,2,29,2,7,9
M1,momentum,RSI Overbought Exit,BTC,B,0.1935483870967742,0.26666666666666666,0.22429906542056074,7.833333333333333,7.5,0.8064516129032258,31,6,25,4,11,15
M1,momentum,RSI Overbought Exit,BTC,C,0.0,0.0,0.0,,,1.0,31,0,31,0,7,7
M1,momentum,RSI Overbought Exit,BTC,D,0.0967741935483871,0.2222222222222222,0.1348314606741573,13.0,14.0,0.9032258064516129,31,3,28,2,7,9
M1,momentum,RSI Overbought Exit,ETH,ALL,0.5,0.25806451612903225,0.3404255319148936,7.461538461538462,6.0,0.5,26,13,13,8,23,31
M1,momentum,RSI Overbought Exit,ETH,A,0.34615384615384615,0.2631578947368421,0.2990033222591362,9.555555555555555,9.0,0.6538461538461539,26,9,17,5,14,19
M1,momentum,RSI Overbought Exit,ETH,B,0.5,0.28,0.358974358974359,7.0,5.0,0.5,26,13,13,7,18,25
M1,momentum,RSI Overbought Exit,ETH,C,0.038461538461538464,0.09090909090909091,0.05405405405405406,4.0,4.0,0.9615384615384616,26,1,25,1,10,11
M1,momentum,RSI Overbought Exit,ETH,D,0.23076923076923078,0.29411764705882354,0.25862068965517243,7.0,7.0,0.7692307692307693,26,6,20,5,12,17
M1,momentum,RSI Overbought Exit,SOL,ALL,0.5384615384615384,0.3142857142857143,0.39690721649484534,11.714285714285714,12.0,0.46153846153846156,26,14,12,11,24,35
M1,momentum,RSI Overbought Exit,SOL,A,0.19230769230769232,0.21739130434782608,0.20408163265306123,11.2,11.0,0.8076923076923077,26,5,21,5,18,23
M1,momentum,RSI Overbought Exit,SOL,B,0.5384615384615384,0.34375,0.4196185286103542,11.571428571428571,12.0,0.46153846153846156,26,14,12,11,21,32
M1,momentum,RSI Overbought Exit,SOL,C,0.2692307692307692,0.5,0.35000000000000003,8.857142857142858,10.0,0.7307692307692307,26,7,19,6,6,12
M1,momentum,RSI Overbought Exit,SOL,D,0.2692307692307692,0.28,0.27450980392156865,12.142857142857142,13.0,0.7307692307692307,26,7,19,7,18,25
M1,momentum,RSI Overbought Exit,DOGE,ALL,0.4074074074074074,0.2647058823529412,0.32090761750405183,9.545454545454545,9.0,0.5925925925925926,27,11,16,9,25,34
M1,momentum,RSI Overbought Exit,DOGE,A,0.4074074074074074,0.3076923076923077,0.350597609561753,9.545454545454545,6.0,0.5925925925925926,27,11,16,8,18,26
M1,momentum,RSI Overbought Exit,DOGE,B,0.48148148148148145,0.3333333333333333,0.3939393939393939,7.3076923076923075,2.0,0.5185185185185185,27,13,14,11,22,33
M1,momentum,RSI Overbought Exit,DOGE,C,0.18518518518518517,0.42857142857142855,0.25862068965517243,11.6,11.0,0.8148148148148148,27,5,22,3,4,7
M1,momentum,RSI Overbought Exit,DOGE,D,0.2962962962962963,0.20833333333333334,0.24464831804281342,8.375,7.0,0.7037037037037037,27,8,19,5,19,24
M1,momentum,RSI Overbought Exit,OP,ALL,0.48148148148148145,0.21875,0.30082644628099175,5.230769230769231,4.0,0.5185185185185185,27,13,14,7,25,32
M1,momentum,RSI Overbought Exit,OP,A,0.6666666666666666,0.25925925925925924,0.37333333333333335,11.055555555555555,11.0,0.3333333333333333,27,18,9,7,20,27
M1,momentum,RSI Overbought Exit,OP,B,0.5925925925925926,0.21875,0.3195435092724679,7.0,7.0,0.4074074074074074,27,16,11,7,25,32
M1,momentum,RSI Overbought Exit,OP,C,0.37037037037037035,0.8,0.5063291139240506,10.3,10.0,0.6296296296296297,27,10,17,4,1,5
M1,momentum,RSI Overbought Exit,OP,D,0.4074074074074074,0.21739130434782608,0.28350515463917525,8.181818181818182,7.0,0.5925925925925926,27,11,16,5,18,23
M1,momentum,RSI Overbought Exit,AVAX,ALL,0.76,0.3333333333333333,0.46341463414634143,8.789473684210526,7.0,0.24,25,19,6,10,20,30
M1,momentum,RSI Overbought Exit,AVAX,A,0.68,0.3333333333333333,0.4473684210526316,10.823529411764707,10.0,0.32,25,17,8,8,16,24
M1,momentum,RSI Overbought Exit,AVAX,B,0.84,0.3793103448275862,0.5226244343891402,8.095238095238095,7.0,0.16,25,21,4,11,18,29
M1,momentum,RSI Overbought Exit,AVAX,C,0.28,0.6,0.38181818181818183,9.428571428571429,11.0,0.72,25,7,18,3,2,5
M1,momentum,RSI Overbought Exit,AVAX,D,0.6,0.3181818181818182,0.41584158415841577,10.6,11.0,0.4,25,15,10,7,15,22
M1,momentum,RSI Overbought Exit,XRP,ALL,0.3125,0.16129032258064516,0.2127659574468085,8.6,5.0,0.6875,16,5,11,5,26,31
M1,momentum,RSI Overbought Exit,XRP,A,0.375,0.2222222222222222,0.27906976744186046,13.833333333333334,15.0,0.625,16,6,10,4,14,18
M1,momentum,RSI Overbought Exit,XRP,B,0.5625,0.30434782608695654,0.3949843260188088,8.88888888888889,11.0,0.4375,16,9,7,7,16,23
M1,momentum,RSI Overbought Exit,XRP,C,0.5625,0.5,0.5294117647058824,11.11111111111111,12.0,0.4375,16,9,7,7,7,14
M1,momentum,RSI Overbought Exit,XRP,D,0.125,0.10526315789473684,0.11428571428571428,1.5,1.5,0.875,16,2,14,2,17,19
M1,momentum,RSI Overbought Exit,XLM,ALL,0.47058823529411764,0.2692307692307692,0.3425076452599388,12.25,14.5,0.5294117647058824,17,8,9,7,19,26
