symbol,cluster_id,cluster_start,cluster_end,n_event_days,types,peak_decline,has_A,has_B,has_C,has_D
AVAX,AVAX_0,2022-01-05,2022-01-21,5,A|B|D,-0.32190515294600697,True,True,False,True
AVAX,AVAX_1,2022-02-11,2022-03-07,8,A|B|D,-0.26521191775073427,True,True,False,True
AVAX,AVAX_2,2022-04-06,2022-04-11,3,A|B|D,-0.17378888322284536,True,True,False,True
AVAX,AVAX_3,2022-04-30,2022-07-26,25,A|B|C|D,-0.8441251204766494,True,True,True,True
AVAX,AVAX_4,2022-08-18,2022-09-18,7,A|B|D,-0.31020239570425445,True,True,False,True
AVAX,AVAX_5,2022-11-08,2022-11-17,5,A|B|D,-0.2791736460078169,True,True,False,True
AVAX,AVAX_6,2022-12-16,2022-12-16,1,B|D,-0.13953488372093026,False,True,False,True
AVAX,AVAX_7,2023-02-09,2023-03-15,6,A|B|D,-0.3131553860819829,True,True,False,True
AVAX,AVAX_8,2023-04-19,2023-04-23,3,A|B|D,-0.16509667823500251,True,True,False,True
AVAX,AVAX_9,2023-05-08,2023-05-08,1,B,-0.11277330264672036,False,True,False,False
AVAX,AVAX_10,2023-06-10,2023-06-10,1,A|B|D,-0.200960219478738,True,True,False,True
AVAX,AVAX_11,2023-08-17,2023-08-21,2,A|B,-0.16248989490703314,True,True,False,False
AVAX,AVAX_12,2023-10-09,2023-10-09,1,B,-0.10506566604127587,False,True,False,False
AVAX,AVAX_13,2023-11-13,2023-11-21,3,B|C|D,-0.24531835205992503,False,True,True,True
AVAX,AVAX_14,2023-12-27,2024-01-22,8,A|B|C|D,-0.30337343713139886,True,True,True,True
AVAX,AVAX_15,2024-02-20,2024-04-26,11,A|B|C|D,-0.44633140972794727,True,True,True,True
AVAX,AVAX_16,2024-06-08,2024-07-04,4,A|B,-0.26540426810940787,True,True,False,False
AVAX,AVAX_17,2024-07-24,2024-08-11,5,A|B|D,-0.3196378830083565,True,True,False,True
AVAX,AVAX_18,2024-08-27,2024-08-31,2,A|B,-0.1586130579122096,True,True,False,False
AVAX,AVAX_19,2024-10-01,2024-10-03,2,A|B,-0.154320987654321,True,True,False,False
AVAX,AVAX_20,2024-11-14,2024-11-14,1,B,-0.12601512181461771,False,True,False,False
AVAX,AVAX_21,2024-12-09,2025-02-06,12,A|B|C|D,-0.5389537071885585,True,True,True,True
AVAX,AVAX_22,2025-02-24,2025-03-09,5,A|B|D,-0.27975951903807617,True,True,False,True
AVAX,AVAX_23,2025-03-28,2025-04-08,4,A|B|D,-0.21218074656188612,True,True,False,True
AVAX,AVAX_24,2025-05-16,2025-06-17,6,A|B|D,-0.26444972288202706,True,True,False,True
AVAX,AVAX_25,2025-07-30,2025-08-02,2,A|B,-0.16359262229350446,True,True,False,False
AVAX,AVAX_26,2025-08-25,2025-08-25,1,D,-0.09601238869531536,False,False,False,True
AVAX,AVAX_27,2025-09-25,2025-12-16,14,A|B|D,-0.6058767167039285,True,True,False,True
AVAX,AVAX_28,2026-01-20,2026-02-05,6,A|B|D,-0.33011272141706927,True,True,False,True
AVAX,AVAX_29,2026-06-02,2026-06-05,3,A|B|D,-0.23767984592726854,True,True,False,True
BTC,BTC_0,2022-01-21,2022-01-21,1,A|B|D,-0.15361486633986654,True,True,False,True
BTC,BTC_1,2022-02-18,2022-03-04,3,A|B,-0.15096905744598788,True,True,False,False
BTC,BTC_2,2022-04-11,2022-04-11,1,A,-0.15135214277387699,True,False,False,False
BTC,BTC_3,2022-05-07,2022-05-09,2,A|B|D,-0.2193073305860378,True,True,False,True
BTC,BTC_4,2022-06-12,2022-07-12,6,A|B|C|D,-0.5783341872255627,True,True,True,True
BTC,BTC_5,2022-08-19,2022-08-19,1,B|D,-0.12661424941122823,False,True,False,True
BTC,BTC_6,2022-09-13,2022-09-15,2,B|D,-0.1202844826739371,False,True,False,True
BTC,BTC_7,2022-11-08,2022-11-11,3,A|B|D,-0.20985825611954045,True,True,False,True
BTC,BTC_8,2023-04-21,2023-04-21,1,B,-0.1026059570092307,False,True,False,False
BTC,BTC_9,2023-08-18,2023-08-18,1,B,-0.10773972602739723,False,True,False,False
BTC,BTC_10,2023-09-11,2023-09-11,1,C,-0.20002746848357122,False,False,True,False
BTC,BTC_11,2024-03-16,2024-03-19,2,B|D,-0.10635724208357167,False,True,False,True
BTC,BTC_12,2024-05-01,2024-05-01,1,C,-0.2012721354065098,False,False,True,False
BTC,BTC_13,2024-07-04,2024-07-04,1,C,-0.2192674362320881,False,False,True,False
BTC,BTC_14,2024-08-04,2024-09-16,7,A|B|C,-0.21582085495743197,True,True,True,False
