rank,members,size,strategy,f1,precision,recall,false_alarm_rate,avg_lead_time,total_signals,detected_crashes,total_crashes
1,M5+M8+M6,3,OR,0.60236145424916,0.43990719257540606,0.9550561797752809,0.560092807424594,9.722387220288043,2155,255,267
2,M5+M7+M8,3,OR,0.6008236802562886,0.4382687927107061,0.9550561797752809,0.5617312072892938,9.569524367979055,2195,255,267
3,M5+M6+VOL4,3,OR,0.5951871387905214,0.4439701173959445,0.9026217228464419,0.5560298826040555,9.81651257036463,1874,241,267
4,M5+M8,2,OR,0.5946655006558811,0.43174603174603177,0.9550561797752809,0.5682539682539682,9.717352817728441,1890,255,267
5,M5+M7+VOL4,3,OR,0.5925978059101425,0.441994750656168,0.898876404494382,0.558005249343832,9.627716435888155,1905,240,267
6,M5+M7+M6,3,OR,0.5906154009109204,0.481353591160221,0.7640449438202247,0.518646408839779,9.66474523946411,1448,204,267
7,M5+M6,2,OR,0.5894035294056958,0.4906937394247039,0.7378277153558053,0.5093062605752962,9.881373818151513,1182,197,267
8,M5+VOL6+M6,3,OR,0.5888754965500493,0.4199749268700376,0.9850187265917603,0.5800250731299624,10.208375127020041,2393,263,267
9,M5+M6+V4,3,OR,0.5870328254610946,0.4462242562929062,0.8576779026217228,0.5537757437070938,9.685009436712823,1748,229,267
10,M5+V7+M6,3,OR,0.5863056584149748,0.4215354901014003,0.9625468164794008,0.5784645098985998,10.214675157116366,2071,257,267
11,M5+VOL6+M7,3,OR,0.5861946173492587,0.4179287760949652,0.9812734082397003,0.5820712239050347,10.078208276759023,2443,262,267
12,M5+VOL3+M6,3,OR,0.5860726148207536,0.4365482233502538,0.8913857677902621,0.5634517766497462,10.317292550004817,1970,238,267
13,M5+X5+M6,3,OR,0.5856017221501912,0.4173262972735268,0.9812734082397003,0.5826737027264732,9.909383654613253,2274,262,267
14,M5+VOL4,2,OR,0.5853454583463992,0.4339739615623063,0.898876404494382,0.5660260384376937,9.822527413171557,1613,240,267
15,M7+M8+M6,3,OR,0.5838104395494788,0.42261038330907325,0.9438202247191011,0.5773896166909267,9.63658765880326,2061,252,267
16,M5+M7,2,OR,0.5836972050626799,0.4844517184942717,0.7340823970037453,0.5155482815057283,9.61154737070498,1222,196,267
17,M5+M7+V4,3,OR,0.5833069154476699,0.4409448818897638,0.8614232209737828,0.5590551181102362,9.532859398623462,1778,230,267
18,M5+M8+VOL4,3,OR,0.5832092489173137,0.4183417085427136,0.9625468164794008,0.5816582914572864,9.89671586284572,2388,257,267
19,M5+M7+X5,3,OR,0.5829705765213078,0.41533131225638803,0.9775280898876404,0.5846686877436119,9.746876238410678,2309,261,267
20,M5+M7+VOL3,3,OR,0.5821563155411819,0.434,0.8838951310861424,0.566,10.112922666046414,2000,236,267
21,M5+M7+V7,3,OR,0.5806658662667223,0.4164319248826291,0.9588014981273408,0.5835680751173709,10.0890440696012,2130,256,267
22,M5+M8+V4,3,OR,0.5792960509271253,0.41363636363636364,0.9662921348314607,0.5863636363636363,9.751395844673082,2420,258,267
23,M5+VOL6,2,OR,0.5791193516557052,0.4107728337236534,0.9812734082397003,0.5892271662763466,10.27429974712961,2135,262,267
24,M7+M8,2,OR,0.577413331168304,0.41593886462882096,0.9438202247191011,0.584061135371179,9.6179640281155,1832,252,267
25,M5+VOL3,2,WEIGHTED,0.5772509964327186,0.49280177187153934,0.6966292134831461,0.5071982281284607,9.88706594285594,903,186,267
26,M5+M8,2,WEIGHTED,0.5772509964327186,0.49280177187153934,0.6966292134831461,0.5071982281284607,9.88706594285594,903,186,267
27,M5+X5,2,WEIGHTED,0.5772509964327186,0.49280177187153934,0.6966292134831461,0.5071982281284607,9.88706594285594,903,186,267
28,M5+V7,2,WEIGHTED,0.5772509964327186,0.49280177187153934,0.6966292134831461,0.5071982281284607,9.88706594285594,903,186,267
29,M5+VOL4,2,WEIGHTED,0.5772509964327186,0.49280177187153934,0.6966292134831461,0.5071982281284607,9.88706594285594,903,186,267
30,M5+V4,2,WEIGHTED,0.5772509964327186,0.49280177187153934,0.6966292134831461,0.5071982281284607,9.88706594285594,903,186,267
31,M5+M6,2,WEIGHTED,0.5772509964327186,0.49280177187153934,0.6966292134831461,0.5071982281284607,9.88706594285594,903,186,267
32,M5+VOL6,2,WEIGHTED,0.5772509964327186,0.49280177187153934,0.6966292134831461,0.5071982281284607,9.88706594285594,903,186,267
33,M5+M7,2,WEIGHTED,0.5772509964327186,0.49280177187153934,0.6966292134831461,0.5071982281284607,9.88706594285594,903,186,267
34,M5+V4,2,OR,0.5771016260720682,0.4377942165433759,0.846441947565543,0.5622057834566241,9.66029519971727,1487,226,267
35,M5+VOL3,2,OR,0.5769807282307052,0.42915690866510536,0.8801498127340824,0.5708430913348946,10.414299626452223,1708,235,267
36,M5+M8+VOL3,3,OR,0.576141691631012,0.41110682607018895,0.9625468164794008,0.588893173929811,10.14980883935729,2593,257,267
37,M5+V7,2,OR,0.5751034137779202,0.41073384446878425,0.9588014981273408,0.5892661555312158,10.334997443700225,1826,256,267
38,M7+M6+VOL4,3,OR,0.5732685943425851,0.423337091319053,0.8876404494382022,0.576662908680947,9.712110766552092,1774,237,267
39,M5+X5,2,OR,0.5728811097392694,0.4051638530287984,0.9775280898876404,0.5948361469712016,9.910267902519369,2014,261,267
40,M5+V4+VOL4,3,OR,0.5725290797442356,0.4145420207743154,0.9250936329588015,0.5854579792256847,9.78968069204011,2118,247,267
41,M5+VOL6+V4,3,OR,0.5721809395482771,0.403195131228604,0.9850187265917603,0.5968048687713959,10.136376484214733,2629,263,267
42,M5+V7+VOL4,3,OR,0.5705563536994802,0.40220949263502453,0.9812734082397003,0.5977905073649754,10.159504614978788,2444,262,267
43,M7+M8+VOL4,3,OR,0.57052071618558,0.4067503245348334,0.9550561797752809,0.5932496754651666,9.812712171213668,2311,255,267
44,M5+VOL6+M8,3,OR,0.5704588132512578,0.40148698884758366,0.9850187265917603,0.5985130111524164,10.155506863965952,2959,263,267
