indicator,name,composite_score_in,f1_in,precision_in,recall_in,composite_score_out,f1_out,precision_out,recall_out,rank_in,rank_out,rank_delta
M5,Stochastic %K/%D Cross (>80),0.547138218025541,0.5827090446422843,0.5101404056162246,0.6793478260869565,0.5687437418128637,0.558504034761018,0.45038167938931295,0.7349397590361446,1,1,0
VOL6,Down/Up Volume Ratio Spike,0.5316113791232436,0.5019859865220689,0.36053593179049936,0.8260869565217391,0.5495167874494619,0.4519650655021834,0.3103448275862069,0.8313253012048193,2,4,2
M7,Williams %R Overbought Exit,0.5280008444410099,0.564152791380999,0.4744645799011532,0.6956521739130435,0.5520223607864803,0.5285785702382936,0.4126984126984127,0.7349397590361446,3,3,0
M8,ROC Negative Turn,0.5092369979187468,0.511491062506939,0.39105339105339104,0.7391304347826086,0.5573795616197534,0.47295530194959584,0.32344213649851633,0.8795180722891566,4,2,-2
V7,Consecutive Down Candles,0.5083703786048607,0.481683398105085,0.36396396396396397,0.7119565217391305,0.5151528514120184,0.395578899880772,0.26902173913043476,0.7469879518072289,5,10,5
M6,CCI Extreme Reversal,0.4921393841740045,0.47586763518966907,0.4734982332155477,0.4782608695652174,0.5086670311777683,0.4913724145811907,0.4672897196261682,0.5180722891566265,6,12,6
X5,All-Sector Simultaneous Weakness,0.4813360762982184,0.45326257224652944,0.3257978723404255,0.7445652173913043,0.5434189297643883,0.4683490162532079,0.3191489361702128,0.8795180722891566,7,5,-2
V4,Garman-Klass Vol Spike (2σ),0.48006085891418204,0.4751501911523757,0.3832599118942731,0.625,0.5162790749862669,0.48047423430918823,0.3598130841121495,0.7228915662650602,8,9,1
VOL3,CMF Negative Flip,0.4686876454310842,0.429956022373084,0.34296028880866425,0.5760869565217391,0.5432051056397901,0.48548885077186965,0.3719512195121951,0.6987951807228916,9,6,-3
VOL4,VPT EMA Breakdown,0.4624049567970675,0.44638729315908726,0.36435643564356435,0.5760869565217391,0.5102804935101889,0.4626877992405481,0.34296028880866425,0.7108433734939759,10,11,1
