year_week,n_assets,assets,week_start,worst_decline
2022-W01,4,AVAX|ETH|SOL|XRP,2022-01-05,-0.26487338999386656
2022-W03,7,AVAX|BTC|DOGE|ETH|SOL|XLM|XRP,2022-01-18,-0.26916694324593426
2022-W06,5,AVAX|ETH|SOL|XLM|XRP,2022-02-11,-0.1563956043956044
2022-W07,5,AVAX|BTC|ETH|SOL|XRP,2022-02-17,-0.14840788476118272
2022-W08,6,AVAX|BTC|ETH|SOL|XLM|XRP,2022-02-21,-0.19952672905238245
2022-W09,5,AVAX|BTC|ETH|SOL|XLM,2022-03-04,-0.12774772701116344
2022-W14,5,AVAX|DOGE|ETH|SOL|XLM,2022-04-06,-0.18867786705624556
2022-W15,6,AVAX|BTC|DOGE|ETH|SOL|XRP,2022-04-11,-0.20092646207295883
2022-W17,4,AVAX|DOGE|SOL|XRP,2022-04-26,-0.21763009748729922
2022-W18,6,AVAX|BTC|DOGE|ETH|SOL|XRP,2022-05-02,-0.18180466775680093
2022-W19,7,AVAX|BTC|DOGE|ETH|SOL|XLM|XRP,2022-05-09,-0.3172025190586676
2022-W20,5,AVAX|DOGE|ETH|SOL|XLM,2022-05-16,-0.19114027891714525
2022-W21,3,AVAX|ETH|SOL,2022-05-23,-0.2290227048371175
2022-W22,4,AVAX|OP|SOL|XLM,2022-06-01,-0.24644243208279426
2022-W23,8,AVAX|BTC|DOGE|ETH|OP|SOL|XLM|XRP,2022-06-07,-0.4074675324675324
2022-W24,8,AVAX|BTC|DOGE|ETH|OP|SOL|XLM|XRP,2022-06-13,-0.28322639458644505
2022-W26,7,AVAX|BTC|DOGE|ETH|SOL|XLM|XRP,2022-06-28,-0.8441251204766494
2022-W28,7,AVAX|BTC|DOGE|ETH|OP|SOL|XLM,2022-07-11,-0.15017667844522964
2022-W30,5,AVAX|DOGE|ETH|OP|SOL,2022-07-25,-0.16221682847896435
2022-W33,8,AVAX|BTC|DOGE|ETH|OP|SOL|XLM|XRP,2022-08-17,-0.2382165605095542
2022-W34,5,AVAX|DOGE|ETH|OP|SOL,2022-08-23,-0.23555888972243066
