rank,strategy_id,group,category,n_assets,total_trades,cross_asset_avg_return,cross_asset_median_return,worst_case_return,positive_asset_count,cross_asset_sharpe,consistency,avg_profit_factor,avg_expectancy,avg_win_rate,avg_holding_days,avg_alpha_vs_bh,composite_score
1,S5.09_S_atr_F10,S5,Alt Volume,5,73,44.16090311154498,75.13296982978254,-22.229938800153924,4,2.3373392575202843,0.8,11.749723423655203,3.7097493217337956,0.6428657616892911,7.460351935646052,58.808676174298284,0.8834609191683739
2,S5.09_S_atr_F8,S5,Alt Volume,9,244,69.21924456787004,81.9639291773488,-7.070002418139146,8,1.2203184885918623,0.8888888888888888,1.838002740132788,2.469856149893227,0.577879559629507,7.727793371629815,97.14653085880668,0.815703332605693
3,S3.01_S_trail_F9,S3,Alt Trend,5,56,43.62821569072523,46.325609437623605,13.276568276709376,5,5.946874463545815,1.0,4.89523498817293,4.091388157977768,0.49000000000000005,1.0418181818181818,68.61472511442467,0.8089370689175761
4,S3.01_S_trail_F8,S3,Alt Trend,6,67,41.806762141341856,40.74786097779752,13.276568276709376,6,5.661768661546545,1.0,4.389552529458183,3.8968723017831324,0.452020202020202,0.9376262626262627,70.1637141497042,0.8037760948861188
5,S3.01_S_trail,S3,Alt Trend,7,78,39.89306155008804,35.775174028393096,13.276568276709376,7,5.577882697687127,1.0,4.103392445222015,3.7027577478892053,0.43809523809523804,0.9047619047619049,67.17411114353094,0.8023086545273583
6,S3.01_L_and+S4.09_L_and,S3,Alt Trend,1,11,53.91678656171226,53.91678656171226,53.91678656171226,1,5.966571715922302,1.0,6.194485404068725,4.901526051064751,0.8181818181818182,4.545454545454546,54.38497970266946,0.7996971197981936
7,S2.08_L_aggr,S2,Alt Momentum,9,254,52.775341279223674,53.621531946177846,23.949050949051,9,1.2795802115633774,1.0,1.49297311569801,1.854077643082388,0.4427113914182879,5.45434548688859,64.99461620713707,0.7985914113782452
8,S1.11_S_aggr_F8,S1,Price Action,9,312,54.389803120720984,49.040673586231854,15.738569927092351,9,1.088938032402903,1.0,1.4889691068887123,1.6705290714539889,0.4716167941198665,6.31888739678492,85.13000027499359,0.7903089313807731
9,S2.08_L_aggr_F9,S2,Alt Momentum,9,185,43.50263320077633,36.88001874303651,10.849094020933798,9,1.5600554332570085,1.0,1.6291257979096874,2.188460089888374,0.45680615680615677,5.526891935225269,52.0616467943551,0.7798036311254376
10,SEQ_S1.11_S+S4.04_L,S1,Price Action,9,718,68.53688148892321,47.19636319912994,4.262569466359928,9,1.1230152050355895,1.0,1.3131839716724056,0.8447031897405249,0.4436104209571679,3.212762070689201,91.50791924800174,0.7775933329991304
11,SEQ_S5.02_S+S4.04_L,S5,Alt Volume,9,415,58.383248748542755,63.776807956801264,-27.874115203247158,8,1.7589989351289377,0.8888888888888888,1.535608850468631,1.297289014046231,0.4604555618048609,2.872989427524933,71.93779895308984,0.7749124375219628
12,S6.04_L_atr_F7,S6,Statistical,8,147,47.37960354155887,58.523691173429185,-57.84928976012299,7,1.1682238877946045,0.875,1.7447721170607438,2.784884554426074,0.5321553172704488,6.653706353953065,64.91807841240973,0.770393484956226
13,S3.01_L_base_F9,S3,Alt Trend,3,33,40.147352803658805,47.70229770229787,18.82297414696628,3,4.77650270730262,1.0,3.7392499902701144,3.6497593457871633,0.6666666666666666,3.5151515151515156,48.24429027340145,0.7695593545006297
14,S1.11_S_trail_F2,S1,Price Action,9,461,40.88243206427082,32.5596327568398,8.362851438418085,9,2.6389490552487294,1.0,1.7467359969318212,0.820096450027036,0.4614956270937179,1.278628593880883,63.49571003502595,0.7622189885566428
15,S2.08_L_aggr_F3,S2,Alt Momentum,7,92,37.158317398091675,31.53346653346664,8.46398783841077,7,1.7351702738711217,1.0,1.8987649762610415,2.812375318322851,0.482083602671838,6.491618185735833,35.75750276043678,0.7594055501523775
16,S5.02_S_base_F8,S5,Alt Volume,8,165,30.70458202597284,30.45228514527966,3.8354461791221386,8,1.9382164951758267,1.0,1.7373276052511462,1.594081916532825,0.48459559532314955,3.5372969471189286,42.60362869824249,0.7553439300768476
17,S3.01_S_quick,S3,Alt Trend,7,78,26.047648571977856,23.298567918978712,7.52698473993677,7,4.5958304264991785,1.0,2.7442891281909105,2.42976496468088,0.5238095238095238,0.39999999999999997,54.06719623763355,0.7550197831525283
18,S2.08_L_aggr_F7,S2,Alt Momentum,2,20,48.03931947613353,48.03931947613353,36.20051707414514,2,3.693031375397074,1.0,2.545380475340184,4.8039319476133535,0.55,3.65,-9.385397838884025,0.7544705003394364
19,S1.11_S_aggr,S1,Price Action,9,517,42.3710665868987,54.546040408065366,-68.81074977188342,8,0.5391195806879335,0.8888888888888888,1.216350590763749,0.811082596232112,0.41723367277563306,6.091567818355554,72.03009464804649,0.7531035043837914
20,S6.04_L_atr_F1,S6,Statistical,9,185,38.75054520493765,40.85822224260719,-6.13683298786273,8,0.9460565256500336,0.8888888888888888,1.5046771328893527,2.10834103578426,0.5360444461321653,6.74231032125769,30.972002041647304,0.7497401360058213
21,SEQ_S5.02_S+S3.01_L,S5,Alt Volume,9,654,85.91685081416537,69.97248016547846,-59.692435005082885,7,1.4815974352937595,0.7777777777777778,1.5487149996151215,1.1864295848199984,0.45318310581468474,3.2473677947362156,99.47140101871246,0.7494736010952985
22,S5.02_S_base,S5,Alt Volume,9,270,36.05713406052234,46.26278130548781,-33.83722649355045,8,1.479214296797281,0.8888888888888888,1.534718036337102,1.207463276210252,0.45282927027771525,3.419456391539162,49.611684265069414,0.749237480368791
23,S7.04_S_trail,S7,Cross-Asset,8,161,24.372917561634278,25.033465537149205,1.8035539414689552,8,2.8667522980520586,1.0,1.8244341699950837,1.196067236490074,0.4089985994397759,0.8831057422969187,34.55808792628461,0.7450153299758541
24,S3.12_S_aggr_F8,S3,Alt Trend,9,401,57.07911737605112,66.64314315093935,-7.276653475442391,7,0.921104590923311,0.7777777777777778,1.380839872714732,1.3584728622197961,0.45112641295154204,5.942949439630933,86.2071764805466,0.7442231256693221
25,S3.01_L_base,S3,Alt Trend,4,44,30.80856655079608,33.26263592463208,2.7922077922079023,4,3.6746176922958487,1.0,3.07365239714367,2.8007787773450974,0.5909090909090909,3.159090909090909,51.53768918294031,0.7435717658770992
26,S3.01_L_and+S3.01_L_and,S3,Alt Trend,4,44,30.80856655079608,33.26263592463208,2.7922077922079023,4,3.6746176922958487,1.0,3.07365239714367,2.8007787773450974,0.5909090909090909,3.159090909090909,51.53768918294031,0.7435717658770992
27,S3.01_S_quick_F9,S3,Alt Trend,5,56,28.78378901341125,26.504774125184923,7.52698473993677,5,4.859909174857455,1.0,3.0292372734871913,2.697511066134814,0.5715151515151515,0.4369696969696969,54.43345425767582,0.743556531118695
28,S4.04_L_aggr,S4,Volatility,9,184,34.11089224084279,37.64170565260629,-26.351648351648212,8,1.3154984889163228,0.8888888888888888,1.6134961527132385,1.708461841967139,0.45464397525801037,4.326276760925883,46.18758560307894,0.7427939068567201
29,S3.01_S_quick_F8,S3,Alt Trend,6,67,26.00289179338617,21.227859948998965,7.52698473993677,6,4.399829100932447,1.0,2.7250458211728206,2.4206821336137563,0.5186868686868686,0.38737373737373737,54.418884470292404,0.7406407277787591
30,SEQ_S1.11_S+S3.01_L,S1,Price Action,9,1328,70.31473152498367,48.03793682516022,-65.68694873532172,8,0.6742961173130619,0.8888888888888888,1.1855557963678722,0.5085237019196421,0.42491515119838535,3.4103000644393173,93.2857692840622,0.740616043068064
31,S3.01_L_aggr,S3,Alt Trend,4,44,34.10600685217547,28.56337716643496,6.474508640652417,4,1.84020116359767,1.0,2.6817778731876505,3.100546077470498,0.5227272727272727,6.636363636363637,52.5470493594842,0.734701977501575
32,S4.09_L_aggr_F1,S4,Volatility,2,20,36.148503891525465,36.148503891525465,14.244473118101126,2,2.230511397190536,1.0,3.1848843689473987,3.614850389152546,0.6000000000000001,6.55,38.50418691413596,0.7345962041761324
