id,is_return,is_sharpe,is_pf,is_trades,desc
S3.12_S_aggr_F8#g57,62.341298457206726,1.075514200235756,1.4802826599352055,372,trail_mult=2.0; trail_base=2.5; trail_tight=1.0; trail_at=0.07; breadth_threshold=0.3; pivot_mode=daily
S3.12_S_aggr_F8#g66,57.50608839509678,0.8875544085945476,1.3735872745886923,421,entry_delay=1; trail_mult=2.0; trail_base=2.5; trail_tight=1.0; trail_at=0.07; breadth_threshold=0.5; pivot_mode=daily
S3.12_S_aggr_F8#g50,57.07911737605112,0.921104590923311,1.380839872714732,401,trail_mult=3.0; trail_base=2.5; trail_tight=1.0; trail_at=0.07
S3.12_S_aggr_F8#g49,57.07911737605112,0.921104590923311,1.380839872714732,401,trail_mult=2.5; trail_base=2.5; trail_tight=1.0; trail_at=0.07
S3.12_S_aggr_F8#g0,57.07911737605112,0.921104590923311,1.380839872714732,401,(=base)
S3.12_S_aggr_F8#g61,57.07911737605112,0.921104590923311,1.380839872714732,401,trail_mult=2.0; trail_base=2.5; trail_tight=1.0; trail_at=0.07; breadth_threshold=0.4; pivot_mode=daily
S3.12_S_aggr_F8#g48,57.07911737605112,0.921104590923311,1.380839872714732,401,trail_mult=2.0; trail_base=2.5; trail_tight=1.0; trail_at=0.07
S3.12_S_aggr_F8#g65,56.58168450174772,0.8224333824140257,1.3412216652970368,422,trail_mult=2.0; trail_base=2.5; trail_tight=1.0; trail_at=0.07; breadth_threshold=0.5; pivot_mode=daily
S3.12_S_aggr_F8#g53,53.78267676039324,0.8731190520592637,1.3564300619623606,403,trailing=atr_simple; trail_mult=3.0; trail_base=2.5; trail_tight=1.0; trail_at=0.07
S3.12_S_aggr_F8#g42,50.918080371744026,0.41003101385545215,1.322764488492057,217,max_hold=28
S3.12_S_aggr_F8#g1,50.263384051900864,0.7622593457001039,1.3141152718976508,380,max_hold=21
S3.12_S_aggr_F8#g52,49.14680177941526,0.8164398802556811,1.3386507844223938,405,trailing=atr_simple; trail_mult=2.5; trail_base=2.5; trail_tight=1.0; trail_at=0.07
S3.12_S_aggr_F8#g12,48.56655775652485,0.7066431026512522,1.3223964850283698,372,(=base)
S3.12_S_aggr_F8#g51,46.674547967083086,0.7837302118316725,1.324154334731116,414,trailing=atr_simple; trail_mult=2.0; trail_base=2.5; trail_tight=1.0; trail_at=0.07
S3.12_S_aggr_F8#g13,45.88787389454507,0.6051722101254605,1.2586849294725655,346,max_hold=21
S3.12_S_aggr_F8#g2,45.80303269441611,0.6831681579804447,1.2924409350121677,366,max_hold=28
S3.12_S_aggr_F8#g3,43.8938806608451,0.672071925794062,1.2734821433990704,361,max_hold=42
