id,is_return,is_sharpe,is_pf,is_trades,desc
SEQ_S1.11_S+S3.01_L#g40,131.31681134620516,1.5162945796315113,1.691003489716674,588,max_hold=14; cooldown=3; short_nr_period=7; long_signal=S4.04; natr_high_thr=0.85
SEQ_S1.11_S+S3.01_L#g36,131.31681134620516,1.5162945796315113,1.691003489716674,588,max_hold=14; short_nr_period=7; long_signal=S4.04; natr_high_thr=0.85
SEQ_S1.11_S+S3.01_L#g42,128.34774979756338,1.493898883351433,1.6839427970338376,518,"max_hold=14; cooldown=3; exclude_assets=('XRP',); short_nr_period=7; long_signal=S4.04; natr_high_thr=0.85"
SEQ_S1.11_S+S3.01_L#g29,121.65352496448499,1.3628172130765734,1.5762861807159854,578,max_hold=14; short_nr_period=7; long_signal=S4.04
SEQ_S1.11_S+S3.01_L#g38,121.65352496448499,1.3628172130765734,1.5762861807159854,578,max_hold=14; short_nr_period=7; long_signal=S4.04; natr_high_thr=0.9
SEQ_S1.11_S+S3.01_L#g23,120.1300767116408,1.3183362579310787,1.5618388215875842,635,max_hold=14; short_nr_period=5; long_signal=S4.04
SEQ_S1.11_S+S3.01_L#g35,108.73299945086238,1.334341069394598,1.5766855739023014,530,max_hold=14; short_nr_period=9; long_signal=S4.04
SEQ_S1.11_S+S3.01_L#g27,107.71840841464255,1.546553007823597,1.5526544690664195,649,max_hold=7; short_nr_period=7; long_signal=S4.04
SEQ_S1.11_S+S3.01_L#g41,103.34213215176266,1.2686275343194575,1.5484561179419658,511,max_hold=14; cooldown=5; short_nr_period=7; long_signal=S4.04; natr_high_thr=0.85
SEQ_S1.11_S+S3.01_L#g43,100.25440613570673,1.2297007787578287,1.5253984003465826,452,"max_hold=14; cooldown=5; exclude_assets=('XRP',); short_nr_period=7; long_signal=S4.04; natr_high_thr=0.85"
SEQ_S1.11_S+S3.01_L#g28,97.16143250192918,1.183811397366199,1.4534403773624422,616,short_nr_period=7; long_signal=S4.04
SEQ_S1.11_S+S3.01_L#g26,95.2567726183496,1.431197018500188,1.4581776079515494,692,max_hold=14; short_nr_period=7; long_signal=S4.04
SEQ_S1.11_S+S3.01_L#g34,90.59396699914151,1.2085542276327201,1.4650702909119502,563,short_nr_period=9; long_signal=S4.04
SEQ_S1.11_S+S3.01_L#g39,87.67169628117502,0.6558986308714526,1.391573527274459,451,max_hold=14; short_nr_period=7; long_signal=S4.04; natr_high_thr=0.9
SEQ_S1.11_S+S3.01_L#g22,85.9084939956808,0.9836495449489983,1.3778936918822469,686,short_nr_period=5; long_signal=S4.04
SEQ_S1.11_S+S3.01_L#g33,85.39936894810745,1.3260228576820734,1.4734889133012696,588,max_hold=7; short_nr_period=9; long_signal=S4.04
SEQ_S1.11_S+S3.01_L#g21,83.6614230911285,1.0320198175728967,1.3643308142260373,732,max_hold=7; short_nr_period=5; long_signal=S4.04
SEQ_S1.11_S+S3.01_L#g32,81.64570550607755,1.4178223927905664,1.452853568759486,621,max_hold=14; short_nr_period=9; long_signal=S4.04
SEQ_S1.11_S+S3.01_L#g24,75.71998923499285,1.355489846500082,1.3639563401617234,737,max_hold=7; short_nr_period=7; long_signal=S4.04
SEQ_S1.11_S+S3.01_L#g20,74.15011539533988,1.0456947449426692,1.2948103532115438,782,max_hold=14; short_nr_period=5; long_signal=S4.04
SEQ_S1.11_S+S3.01_L#g37,70.55000869857521,0.5473444844613142,1.3208738877601558,454,max_hold=14; short_nr_period=7; long_signal=S4.04; natr_high_thr=0.85
SEQ_S1.11_S+S3.01_L#g25,68.53688148892321,1.1230152050355895,1.3131839716724056,718,short_nr_period=7; long_signal=S4.04
